8,1,256
0,1
1,1
2,1
3,0
4,0
5,0
6,0
7,0
8,0
9,1
10,0
11,1
12,1
13,1
14,0
15,1
16,0
17,0
18,0
19,1
20,1
21,1
22,1
23,0
24,0
25,0
26,1
27,1
28,0
29,0
30,1
31,0
32,1
33,1
34,1
35,0
36,0
37,0
38,0
39,1
40,0
41,1
42,1
43,0
44,0
45,1
46,1
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,1
55,0
56,0
57,0
58,0
59,1
60,1
61,0
62,0
63,1
64,1
65,1
66,1
67,0
68,1
69,1
70,0
71,1
72,0
73,1
74,1
75,0
76,1
77,0
78,0
79,1
80,0
81,1
82,0
83,1
84,1
85,0
86,1
87,0
88,0
89,1
90,0
91,0
92,0
93,0
94,1
95,1
96,0
97,0
98,1
99,0
100,0
101,0
102,0
103,1
104,0
105,0
106,1
107,0
108,0
109,0
110,1
111,1
112,0
113,1
114,0
115,0
116,0
117,1
118,1
119,1
120,1
121,0
122,1
123,1
124,1
125,0
126,0
127,0
128,0
129,0
130,1
131,0
132,0
133,0
134,1
135,0
136,1
137,0
138,1
139,1
140,1
141,0
142,1
143,1
144,1
145,0
146,0
147,1
148,1
149,1
150,1
151,0
152,0
153,0
154,0
155,1
156,1
157,0
158,0
159,1
160,1
161,1
162,0
163,1
164,1
165,0
166,0
167,0
168,0
169,0
170,1
171,0
172,0
173,1
174,0
175,0
176,0
177,0
178,1
179,0
180,1
181,1
182,1
183,1
184,0
185,1
186,0
187,1
188,0
189,0
190,1
191,1
192,0
193,1
194,0
195,1
196,1
197,0
198,1
199,1
200,1
201,1
202,0
203,0
204,0
205,0
206,1
207,1
208,0
209,0
210,0
211,1
212,1
213,1
214,1
215,1
216,0
217,0
218,0
219,1
220,1
221,1
222,0
223,0
224,0
225,0
226,1
227,0
228,0
229,1
230,1
231,1
232,1
233,1
234,0
235,0
236,1
237,0
238,1
239,0
240,0
241,0
242,1
243,0
244,1
245,0
246,0
247,1
248,1
249,0
250,0
251,0
252,0
253,1
254,0
255,0
